OTU;Specimen_no;Barcode;Taxon;kode_cluster;altitude;w_l.s ;w_o_ l.s ;spine_density;spine_shape;ocrea;knee;length;petiole_length;no_of_pairs;uppermost;uppermost;penultimate ;penultimate ;Median;Median;lowermost;lowermost;Prophyll_armature;Peduncle_bracts_shape;rachis_bracts_armature;*nof_cluster;cluster_length;rachilla_no;rachilla_lengtH;bracts_texture;bracts_shape;bracts_texture;bracts_shape;scales_no;shape;L;W ;shape;present_not
41;Korthals no 9;L 0617871;javensis;1;100;7;4;1;3;1;1;34;2;5;14;3,5;15;4;12,5;3,5;6,5;3;;;;;;;;;;;;;;;;;1
42;De Vogel 8695;L 0617895;4: C. impar;6;600;5;3;1;4;2;2;30;4;2;23;2;;;12;1;;;2;2;2;0;;2;6,0;3;1;;;;;;;;1
43;MCS 140;L 0617889;javensis;1;50;6;4;1;2;1;1;27;2;6;18,5;3,5;18,5;3;16;3,5;9,5;2;;;;;;;;;;;;;;;;;1
44;JD & JPM 4075;L 3928345;javensis;1;1000;6;3;1;0;0;0;40;2;5;18,5;3,5;18;3;16;3,5;9,5;2;2;1;0;;2;4;;;;3;1;;;;;;1
45;Hary Wiriadinata HW 3299;L 0617896;javensis;1;100;6;4;1;2;1;1;41;1;5;15,5;2,5;14;2,5;16,5;2;10;2;2;2;2;;;;;;;;;;;;;;1
46;JP Mogea, Kunio Iwatsuki, Gen Murata, Masahiro Kato B 1590;;javensis;1;150;5;3;1;1;0;1;25;0;5;15,5;2,5;14;2,5;11,5;2,5;8;2;;;;;;;;;;;;;;;;;1
47;JD 4650;L 0617884;javensis;1;64;8;5;1;1;0;1;47;0;6;17,5;2,5;20,5;3,5;15;2,5;8;2;;;;;;;;;;;;;;;;;1
48;JP Mogea JPM 1591;L 0617883;javensis;1;800;8;4;1;1;1;1;24;0;4;16;4;14;3;15;3;4;8;0;1;2;0;;2;2,0;1;1;;;;;;;;1
49;JP Mogea JPM 1620;L 0617863;javensis;1;385;5;3;1;2;1;1;31;0;5;17;3,5;16,5;4;15;3;5;0,5;0;0;2;1;;3;3,0;1;0;;;;;;;;1
50;Amin&Sigin SAN 69127;;javensis;1;10;8;5;1;1;2;2;44;6;;14;3,5;13,5;3;16;3,5;16;2,5;0;1;;1;7,5;5;;6;1;0;;;;;;;1
51;Bartlett 8095;L 3928273;javensis;1;45;6;3;1;2;1;0;43;0;6;17;3,5;18,5;2,5;17;2;7;2;;;;;;;;;;;;;;;;;1
52;W. Meijer No 4038;L 3933514;javensis;1;1000;7;5;1;0;2;1;56;4;5;24,5;3,5;24;3;21;2,5;12;2;;;;;;;;;;;;;;;;;1
53;Timothy J Forsyth TJF 29;L 3928271;javensis;1;1200;6;4;1;1;1;1;38;0;6;19,5;3;16,5;3,5;14,5;2,5;9;2;2;1;;;;;6,0;;;1;0;;;;;;1
54;JD JPM 3967;L 3928274;javensis;1;600;5;3;2;3;0;1;30;0;5;16;2;13;1,5;11;1,5;5;1;;;;;;;;;;;;;;;;;1
55;Kathrin Shreckenberg KS 19;L 3928268;javensis;1;1000;6;4;1;1;1;1;38;0;6;15;3,5;17;3,5;13;2,5;4,5;1,5;;;;;;;;;;;;;;;;;1
56;N. Niyomdhan 1253;L 3933497;javensis;1;192;3;2;1;4;0;1;28;5;3;17;2;;;10,5;2;4,5;2;;;;;;;;;;;;;;;;;1
57;W. Ave 136;L 3928259;4: C. impar;6;1020;4;2;1;2;2;1;41,5;7;2;25,5;3,5;21,5;2,5;;;8,5;1,5;;;;;;;;;;;;;;;;;1
58;Kostermans s.n.;L 3928360;javensis;1;100;8;6;1;1;1;0,1;25;2;5;13;2;11;1,5;11;1,5;8;2;0;1;2;1;;;4,0;5;1;0;;0;;0;;;1
60;Amin et al. SAN 114102;L 0617891;4: C. impar;6;570;5;3;1;2;2;1;25,5;7;2;28,5;3,5;14,5;2,5;14;2;;;0;4;0;;;12;7,0;1;0;;;;;;;;1
61;Kessler et al. PK 2688;L 0372235;5: var congestiflorus;3;900;7;4;1;1;1;0;41;0;5;24;2;25;3,5;23;3,5;5;1;0;1;0;0;;3;6,0;1;0;;;1;0;;;;1
62;Sidiyasa et al. 1953;L 3928428;javensis;1;160;7;5;1;1;0;1;40;0;6;20;4;20;5;19;4;9;2,6;0;2;1;0;;8;7,0;1;0;;;6;0;1;0,8;0;1
63;Van Valkenburg JVV 1320;L 0372224;javensis;1;50;7;5;2;1;1;1;50;2;6;19;4;17;5;19;5;11;2,5;;;;;;;;;;;;;;;;;1
64;EF de Vogel 1769;;javensis;1;450;9;5;2;0;1;1;35;0;;16;3,5;15;5;13;3;9,5;1,5;2;2;2;;;;8,5;;1;0;;;;;;;1
65;Mogea 3988;L 3933440;javensis;1;1650;10;5;2;0;1;0;52;0;4;29;4;24;4;23;3,5;13;2;2;2;0;;;;10,0;;;3;0;;;;;;1
66;JD 5811;L 0617881;javensis;1;100;8;4;1;1;0;1;41;0;5;21;2;20;2,5;20;3,5;10;2;;;;;;;;;;;;;;;;;1
67;JD 4706;L 0617875;javensis;1;200;;5;0;;1;1;56;3;4;30;4,5;20;5;19;5;10;2,5;2;2;0;;;;6,0;;;1;0;;;;;;1
68;JD 4728;L 0617876;javensis;1;270;9;4;1;1;2;2;65;7;8;26;2,5;22;2,5;19;3;16;1,5;;;;;;;;;;;;;;;;;1
69;Cuadra A 3023;L 3933709;javensis;1;11;6;3;1;1;1;1;63;7;5;24;3;23;3;18;3,5;5,5;2,5;;;;;;;;;;;;;;;;;1
70;Meijer SAN 21064;K 000113394;4: C. impar;6;800;5;3;0;;2;2;31;7;2;25,5;2;;;;;11;2,5;0;1,4;0;;;;;1;1;;;;;;;;1
71;W. Ave 145;L 0617866;javensis;1;850;6;3;1;1;2;1;28;1;4;16;3,5;16;2;11;2;8,5;1,5;;;;;;;;;;;;;;;;;
72;W. Ave 55;L 3933510;javensis;1;700;4;2;1;1;1;1;55;30;4;17;2,5;16;2,5;11,5;2;9,5;1,5;;;;;;;;;;;;;;;;;
73;SAN 69853;L 0617909;javensis;1;16;16;10;0;0;1;1;55;5;6;17,5;2,5;18,5;3,5;23,5;4;13,5;1,5;2;1;0;2;;7;6,0;;;1;0;;;;;;
74;Rosemarry Gianno A 668;L 3933507;javensis;1;31;8;5;1;3;0;0;67;7;6;20;3;18;4;17;3,5;10;2,5;;;;;;;;;;;;;;;;;
75;Whitmore FRI 12330;L 3933505;javensis;1;1500;6;4;1;1;1;1;34;2;5;15;2,5;16;2,5;10,5;3;6,5;0,8;0;2;2;;;;;1;0;;;;;;;;1
76;JD 1434;L 3928364;4: C. impar;6;150;4;2;0;3;1;1;32;2;3;21,5;2,5;19;2,5;12,5;2,5;8,5;1,5;0;2,4;0;0;;3;6,0;;;1;0;;;;;;1
77;Backer 9996;L 3928363;javensis;1;900;5;3;2;1;1;0;40;1;6;15;1,5;14;3;13;2,5;6,5;1;0;1;2;4;7,5;9;7,0;;;3;1;;;;;;
78;Backer 23821;L 3928362;javensis;1;1200;6;4;2;1;1;0;25;2;5;16;2,5;15;2,5;13,5;3;8;2;2;1;0;;;;3,5;3;0;;;;;;;;1
79;JD 1106;L 3928358;javensis;1;1300;5;3;1;3;2;1;40;7;5;18;3;17;3,5;16;2,5;8;1,5;;;;;;;;;;;;1;0;;;;
80;Kosterman 23841;L 3928350;javensis;1;650;7;3;0;2;1;0;30;0;5;16;1,5;16;2,5;13,5;2,5;17;2;2;1;2;;;;4,5;;;;;2;0;;;;1
81;JD 1033;L 3928351;javensis;1;600;5;3;1;3;2;1;40;2;5;15,5;2,5;16,5;2,5;12;2,5;6,5;1;0;3;2;;;;3,5;1;1;;;10;1;;;0;1
82;Junghun 43;L3928354;javensis;1;1500;5;3;2;0;2;0;39;1;6;17,5;2,5;16,5;3;18;2,5;7,5;2;0;2;0;1;9,5;6;6,0;;;3;0;;;;;;1
83;Moore;L 0617910;javensis;1;100;7;5;1;1;2;;91;0;7;26,5;4,5;25;4;21,5;3,5;16,5;3,5;;;;;;;;;;;;;;;;;1
84;SAN 100151;L 0617898;javensis;1;800;8;5;0;1;1;1;58;2;6;14,5;2,5;17;3,5;20;3,5;11;2,5;2;1;2;;;;;;;;;;;;;;1
85;De Vogel 1701;L 3933439;javensis;1;450;10;4;1;1;1;1;45;2;4;17;3,5;17;2,5;16;4;7,5;2,3;1,2;2;2;;;;;;;;;;;;;;1
86;JD 5673;L 0617882;javensis;1;2000;8;5;2;1;0;1;40;4;5;15;3,5;16;3,5;14;4;11;2,5;2;1;1;;;;;;;;;;;;;;1
87;Fidilis Krispinus San 95821;;javensis;1;;7;5;1;1;1;1;43;0;;19;4;17;4;15;3,5;9;2;2;2,4;2;0;;7;5,0;1;0;;;;;;;;1
88;Bernard Lee S 52424;L 0617902;javensis;1;1000;10;;1;3;2;1;36;5;4;20;4;18;3;20;4;12;1,5;2;2;2;1;;7;7,0;;;1;0;;;;;;1
89;Masahiro Kato & Harry Wiriadinata B 4943;L 0617908;javensis;1;1000;10;6;0;;0;1;55;7;4;;;;;14;3,5;9;3;2;1,2;0;;;;;;;;;;;;;;1
90;Fidilis Krispinus SAN 114061;L 0617899;5: var congestiflorus;3;17;7;5;2;3;0;0;45;2;6;17;3,5;15;3,5;16;3;11;2,5;2;2,4;2,2;;;;;;;;;0;;0;;;1
91;Lambach 1328;L 3928335;javensis;1;150;8;5;1;2;2;1;;4;6;19;3,5;16;4;17;4,5;10;2,5;2;;;;;;;;;;;;;;;;1
92;Haap 556;L 3928347;javensis;1;94;10;5;2;2;1;1;32;2;6;20;3,5;19;4;17;4,5;8;2,5;2;1;2;;;6;6,0;;;1;0;;;;;;1
93;Lorzing 8744;L 3928270;javensis;1;1150;6;4;1;3;2;2;40;5;5;17;3,5;17;4,5;15;5;10,5;3;2;2;0;;;;5,0;1;1;;;;;;;;1
94;JD 3595;L 3928342;javensis;1;500;8;5;1;1;1;1;40;0;7;19,5;3;20;4;19;3,5;9;2,5;0;2;0;2;7;5;8,0;1;1;;;9;2;;;;1
95;Harry Wiriadinata & Mashuri 669;L 3928267;javensis;1;250;10;7;2;3;1;1;42;0;7;14;3,5;13,5;3,5;15;3,5;5;1;2;2;2;;;;8,5;;;1;1;;;;;;1
96;WJ Lutjeharms WJL 4253;L 3933513;javensis;1;180;8;4;1;3;1;1;56;0;;19;3,5;20;3;14;3,5;5,5;1,5;0;2;2;;;;9,0;1;0;;;;;;;;1
97;Lorzing 13718;L 3928334;javensis;1;1200;8;4;1;1;2;1;34;2;5;15;3,5;14;4;14;3,5;10;2,5;1;2;0;0;;;5,0;1;0;;;;;;;;1
98;de Wilde& de Wilde-Duyfjes 12847;L 3928339 / sh no 340888;8: var. polyphyllus;2;300;10;5;2;3;1;1;58;1;8;21;3,5;20,5;4;17,5;4;10;2,5;2;2,3;2;;;;9,0;1;0;;;;;;;;1
99;JD 3613;L 3928265;javensis;1;700;8;5;2;0;1;1;40;2;7;16;4;17;4,5;15;4,5;7;2;2;4;2;2;;;9,0;0;1;;;;;;;;1
100;JD 2553;L 3928344;javensis;1;22;9;5;2;3;1;1;50;2;6;;;20;5;19,5;4,5;7,5;2;2;2;2;5;10;6;6,0;;;1;;;;;;;1
101;JD & D. Saerudin 1830;;javensis;1;50;8;5;1;3;1;1;30;0;;17;3;15,5;3;14;3,5;7;1,5;2;2;0;;;;5,0;;;1;1;;;;;;1
102;JP Mogea 626;L3928343;javensis;1;700;10;5;2;1;2;0;85;7;10;18;3,5;20;3,5;22;3,5;20;3;;;;;;;;;;;;;;;;;1
103;W. Ave 229;L 3933509;javensis;1;980;5;3;1;2;1;1;33;3;4;15,5;3,5;;;15;3,5;7;2,5;1;2;1;4;11;13;4,0;;;1;0;;;;;;1
104;AFG Kerr 7186;L 3933500;javensis;1;500;6;3;1;3;1;1;40;4;5;16;2,5;16;3;14;2,5;10;2;2;2;;;;;;;;;;;;;;;1
105;JD 3086;K 000934680;javensis;1;1000;8;5;1;3;1;1;40;1;6;16;4;18;4,5;16,5;3;8;2;0;;;;;;;;;;;;;;;;1
106;Backhuizen vd brink 6273;L3928356;javensis;1;550;8;5;1;3;1;0;30;0;5;16;3,5;14,5;4;14,5;4,5;7;3;0;2;2;;;;5,5;;;1;0;;;;;;1
107;W. Ave 4;L3933429;javensis;1;1000;;7;2;3;0;1;75;3;7;19;2,5;21;7;24;2,5;13;1,5;;;;;;;;;;;;;;;;;1
108;W.Ave L 18;L3928255;javensis;1;;8;5;3;3;1;0;59;2;9;21;3,5;22;3,5;20,5;3,5;10;3;2;1;2;;;;8,0;;;;;1,2;1;;;;1
109;Junghun sn;L 3928353;javensis;1;500;7;5;1;2;1;1;39;2;5;17,5;2,5;16,5;3,5;16;3;9,5;2,5;0;1;0;1;;7;6,5;1;0;;;;;;;;1
110;Sapiin W 2374;L 3928355;javensis;1;1300;8;3;1;1;1;0;42;3;5;19;3;16,5;3,5;15,5;3,5;8;2;0;1;2;;;;7,0;;;;;;;;;;1
111;Mueller s.n.;L 3928287;javensis;1;50;8;5;3;0;1;0;33;;4;14;3;14,5;2,5;13;2,5;6;1,5;2;1;2;2;;;;;;;;;;;;;1
112;Korthals s.n.;L3928346;javensis;1;50;6;4;1;2;2;1;44;10;6;18,5;2,5;18,5;2,5;20;2,5;10,5;2;;;;;;;;;;;;;;;;;1
113;Heyne 7;L 3928115;javensis;1;50;7;;2;3;1;1;42;2;;22,5;2,5;21;2,5;;;14;2;2;1;2;;;;;;;1;0;;;;;;1
114;Furtado 30829;L 3928348;javensis;1;500;8;5;0;2;0;0;37;0;0;14,5;3,5;14,5;4,5;17;3,5;7;2;2;2,4;2;;;;3,0;;;1;0;;;;;;1
115;Asin & Jarius SAN 121188;L 0618196;8: var. Polyphyllus;2;600;7;5;1;3;2;0;31;0;10;14,5;2,5;14,5;2,5;16,5;2,5;12,5;2;2;4;2;1;;4;4,0;;;;;1;0;;;;1
116;Dewol & Mansur SAN 107646;L 0618192 / K 000112874;8: var. Polyphyllus;2;250;8;5;0;0;2;1;47;7;12;21;2;20;1,5;24;2,5;15;1;2;0;2;4;13,5;7;8,0;;;1;0;;;;;;1
117;Fidilis Krispinus SAN 121886;L 0618195;8: var. Polyphyllus;2;350;6;;1;3;2;0;36;0;10;11;1;11,5;1,5;16;2,5;11;1,5;0;2;2;;;;;;;;;1;1;;;;1
118;J&MS Clemens 27320;L 0618198;8: var. Polyphyllus;2;1000;7;5;1;2;2;0;59;7;12;14;2;13,5;2,5;16;2,5;11;1,5;;2,4;0;;;7;7,5;1;0;;;10;2;;;1;1
119;Dewol Sundaling SAN 97700;L 0618193;8: var polyphyllus;2;700;10;5;1;2;2;0;69;2;12;13;2;13,5;2;15;2,5;10;1,5;2;4;2;;;;4,5;;;;;;;;;;1
120;JD 5584;L 0618191;8: var polyphyllus;2;300;10;6;1;3;1;1;40;0;9;15;3;14;2;15;2,5;10;2;2;2,4;0;0;;;6,5;;;;;1;1;;;;1
121;Elmer 21331;L 0618190;javensis;1;200;6;4;1;1;0;2;35,5;0;4;20,5;3;20,5;3;17,5;3,5;11,5;3;;;;;;;;;;;;1;0;;;;1
122;Ambri&Arifin W 915;L 0617975;javensis;1;50;10;5;2;2;0;2;40;1;5;21;4,5;17;3,5;17;4,5;9;2,5;;;;;;;;;;;;;;;;;1
123;JD 6265 C. elopurensis?;;2: C. elopurensis;8;200;8;4;1;2;2;2;28;8,5;2;20;3,5;19;3,5;;;;;;;;;;;;;;;;0;0;;;;1
124;JD 4637;L 0617914;7: var hypertrichosus;9;25;6;4;0;;1;2;40;0;7;17,5;3,5;16;4;12,5;2,5;7;2;;;;;;;;;;;;;;;;;1
125;Blume BL 2137 / Syntype 1;;C. javensis;1;900;15;5;2;1;0;1;45;0;5;21;5;17;5,5;18;5;8;2;;;;;;;;;;;;;;;;;1
126;Blume syntype 2;;C. javensis;1;900;5;3;1;1;2;1;44;4;6;19;3,5;18,5;3,5;16;3,5;8;2;2;2,4;0;;;;;;;;;;;;;;1
127;isolectotype;;C. javensis;1;900;5;3;1;2;1;1;35;1;5;16;4;15;3;16;3,5;7;1;0;1;0;1;;5;6,0;;;1;1;;;;;;1
128;holotype / lectotype?;;C. javensis;1;900;11;9;2;2;0;1;42;1;6;18;3,5;18;3,5;17;5;9,5;2;2;1;2;;;7;9,0;1;1;;;;;;;;1
129;JD 5353;L 0617421;13: Calamus sp 1;4;1500;20;10;3;0;2;0;123;70;9;20;2;17;3,5;22;3,5;22,5;2,5;2;1;1;;;;;;;;;;;;;;0
130;Chew & Corner RSNB 1892;L 0617415;11: C. tenompokensis;10;1800;13;7;4;0;0;0;100;40;9;;;27;5,5;37;5,5;32;5,5;0;2;0;2;;;;1;1;;;;;;;;1
131;Chew & Corner, Stainton 1653;L 0617414 / K 000521391;11: C. tenompokensis;10;1300;11;6;3;0;0;0;140;50;8;30;3,5;25;4,5;39;5;20;3;;1;0;;;;;0;0;;;;;;;;1
132;Furtado SFN 33102;L 3928280;javensis;1;96;6;3;2;2;1;2;50;;7;;;13;2,5;15;4,5;;;0;1;2;;;;;;;;;;;;;;1
133;Furtado SFN 30842;L3928281;javensis;1;300;6;3;2;1;1;1;50;;6;18;2,5;15;2,5;15;2,5;16;2,5;0;;;;;;;;;;;;;;;;1
134;JD & Manokaran JD 4485;L 3928284;javensis;1;250;6;3;1;2;1;1;40;3,5;4;24,5;3,5;22,5;4;20;5;17,5;4,5;;;;;;;;;;;;;;;;;1
135;Durand ? / herbarium javanicum PH Van Harreveld Sh no 900210/ L3928275;L 3928275;javensis;1;300;5;3;2;3;2;1;40;0;6;18;4,5;17,5;4;15;4,5;9;3;0;1;1;;;;;1;0;;;;1;;;;1
136;BA Krukoff 4181;L 3928277;javensis;1;500;6;3;1;1;2;1;50;0;5;20,5;4,5;20;4;17,5;5;7;3;;;;;;;;;;;;;;;;;1
137;Meijer SAN 20268;;javensis;1;1000;6;4;4;0;0;0;35;0;6;18;4;17;4;21;5,5;8;3;;;;;;;;;;;;;;;;;1
138;Bernard Lee S 52573;L 0617419;11: C. tenompokensis;10;800;35;20;3;0;1;0;94;34;8;25;6;30;7;32;8;22;4;;2;2;2;22,5;19;13,0;;;0;1;;;;;;0
139;JD 5707;L 0617416;11: C. tenompokensis;10;1700;35;15;4;0;1;0;108;30;9;31;6;28;5;30;5;26;5;;;;;;;;;;;;;;;;;1
140;Madulid et al. 7172;L 3928434;14: Calamus sp 2;11;525;9;6;2;0;0;2;55;29;6;;;12,5;2,5;14;2,5;10;2;;;;;;;;;;;;;;;;;1
141;JD, Madulid, Reynoso JD 6176;K 000707845;javensis;1;15;7;4;1;0;1;2;45;0;8;19;2,5;18;2,5;13;2;11;2;0;1;2;;;;5,5;1;1;;;;;;;;1
142;Madulid F1008;L 3928436;javensis;1;15;6;4;1;4;2;2;30;2;7;19;2;20;3;18;2;10;1,5;;;;;;;;;;;;;;;;;1
143;Chew & Corner RSNB 7025;K 000113411;12: var nov;5;1650;7;4;1;0;3;2;55;3,5;5;10;3;12;2,5;18;2;10;1,5;0;;2;4;11;12;8,5;;;1;1;;;;;;1
144;Chew et al. 168;K 000113396;12: var nov;5;2100;7;4;2;3;3;1;50;7;5;17,5;3;15,5;3;19,5;3;13;2;0;1;2;3;9,5;6;3,5;1;1;;;;;;;;1
145;Diwol et al. SAN 144475;K 000209517;12: var nov;5;2000;10;5;2;0;3;2;49;17,5;4;15,5;2,5;15,5;2,5;16;3;14,5;2,5;2;1;2;4;20;9;6,0;;;1;1;;;;;;
